date,open,high,low,close,volume
06-02-2017,22.3785,22.6008,22.3011,22.3495,92228389
07-02-2017,22.5041,22.5138,22.0981,22.1368,87982945
08-02-2017,21.9725,21.9725,21.7018,21.9145,102264514
09-02-2017,22.0015,22.3785,21.8855,22.3495,102634174
10-02-2017,22.4171,22.4655,22.1948,22.3108,90548254
13-02-2017,22.3978,22.7555,22.3978,22.6201,105342461
14-02-2017,22.6201,23.3645,22.5525,23.2581,139711380
15-02-2017,23.5288,23.9445,23.3065,23.7608,151233334
16-02-2017,23.7221,23.7995,23.4901,23.7608,98144469
17-02-2017,23.4708,23.7608,23.3935,23.7028,85789239
21-02-2017,23.7705,23.9735,23.7608,23.9541,78571450
22-02-2017,23.7898,24.1185,23.7221,23.9638,81531895
23-02-2017,23.9638,24.0605,23.6931,23.7608,85845982
24-02-2017,23.3161,23.5385,23.2195,23.4225,97074433
27-02-2017,23.3935,23.8381,23.3838,23.7511,69129148
28-02-2017,23.6641,23.8768,23.6061,23.8575,90241979
01-03-2017,24.5992,24.8319,24.4538,24.7253,143947510
02-03-2017,24.8998,25.0162,24.4344,24.4635,99824552
03-03-2017,24.5314,24.8707,24.5314,24.6671,92681401
06-03-2017,24.5605,24.5798,24.3181,24.4829,75660430
07-03-2017,24.4538,24.5895,24.3374,24.4441,64053694
08-03-2017,24.8223,24.9871,24.4538,24.4926,105314569
09-03-2017,24.5798,24.7544,24.4635,24.5798,78984607
10-03-2017,24.8416,24.8416,24.3277,24.5411,86998808
13-03-2017,24.5314,24.638,24.3665,24.5314,56886181
14-03-2017,24.4247,24.5702,24.289,24.5508,63182745
15-03-2017,24.6186,24.7738,24.2017,24.415,114662671
16-03-2017,24.4732,24.7156,24.4247,24.4538,70306233
17-03-2017,24.4538,24.5023,24.0756,24.1047,105222387
20-03-2017,23.8332,24.0078,23.6781,23.6975,87287477
21-03-2017,23.7557,23.8138,22.2528,22.3206,259545810
